customer_id,industry,company_size,contract_length,tenure_months,seats_purchased,seats_active,seat_utilization,logins_last_30d,usage_trend_pct,support_tickets_last_90_days,payment_failures_last_12mo,nps_score,core_feature_adoption_rate,csm_assigned,churned,logins_per_active_seat,support_tickets_per_active_seat,predicted_churn_probability,predicted_churn,churn_risk_band
C00046,Retail,28,multi_year,16,7,6,0.857,4,0.0,1,0,,0.782,0,0,0.5714285714285714,0.14285714285714285,0.004174255896472483,0,Very Low
C00047,Manufacturing,41,annual,18,11,3,0.273,6,0.636,5,0,,0.417,0,0,1.5,1.25,0.18144720071281312,0,Very Low
C00048,Other,26,monthly,10,8,3,0.375,4,0.5,1,0,5.0,0.692,0,0,1.0,0.25,0.07323416147776242,0,Very Low
C00049,Manufacturing,100,multi_year,1,16,7,0.438,4,-0.556,1,0,3.0,0.582,0,1,0.5,0.125,0.29219958901572335,0,Low
C00050,Healthcare,26,monthly,14,6,3,0.5,3,-0.308,0,0,6.0,0.474,0,0,0.75,0.0,0.14948367788580913,0,Very Low
C00051,Finance,36,annual,2,12,6,0.5,4,-0.143,2,0,,0.481,1,0,0.5714285714285714,0.2857142857142857,0.0711997367426813,0,Very Low
C00052,Retail,331,annual,18,15,12,0.8,13,0.3,1,1,,0.473,1,0,1.0,0.07692307692307693,0.0213395109738142,0,Very Low
C00053,,17,multi_year,4,9,5,0.556,4,-0.333,2,0,,0.593,0,0,0.6666666666666666,0.3333333333333333,0.1257401053907957,0,Very Low
C00054,Healthcare,9,annual,96,5,0,0.0,0,0.0,6,0,,0.325,0,1,0.0,6.0,0.5740115694327554,1,Medium
C00055,Manufacturing,37,annual,1,11,10,0.909,8,-0.429,0,0,6.0,0.527,0,0,0.7272727272727273,0.0,0.03149483306279965,0,Very Low
C00056,Tech,16,annual,13,6,5,0.833,5,0.364,3,0,4.0,0.577,0,0,0.8333333333333334,0.5,0.018681013276835558,0,Very Low
C00057,Tech,16,monthly,36,5,3,0.6,2,0.0,1,0,,0.422,0,0,0.5,0.25,0.09718980013098119,0,Very Low
C00058,Manufacturing,39,monthly,21,7,5,0.714,4,0.0,1,0,,0.337,0,0,0.6666666666666666,0.16666666666666666,0.09928572906343246,0,Very Low
C00059,Retail,76,monthly,18,9,7,0.778,5,-0.348,4,0,,0.375,0,0,0.625,0.5,0.16033538361673116,0,Very Low
C00060,Finance,6,annual,24,3,1,0.333,4,0.5,0,0,7.0,0.332,0,0,2.0,0.0,0.11337909660290914,0,Very Low
C00061,Manufacturing,25,annual,27,5,2,0.4,1,-0.625,2,1,4.0,0.621,0,1,0.3333333333333333,0.6666666666666666,0.6166668908844758,1,High
C00062,Other,3,annual,14,2,2,1.0,1,-0.25,2,0,,0.546,0,0,0.3333333333333333,0.6666666666666666,0.021824500819997605,0,Very Low
C00063,Retail,81,multi_year,8,15,12,0.8,8,0.043,3,0,4.0,0.436,0,0,0.6153846153846154,0.23076923076923078,0.03861928264597643,0,Very Low
C00064,Retail,10,monthly,13,5,3,0.6,4,-0.077,0,0,6.0,0.499,0,0,1.0,0.0,0.11788391761186147,0,Very Low
C00065,Manufacturing,61,monthly,9,12,8,0.667,14,0.826,0,0,,0.709,0,0,1.5555555555555556,0.0,0.00903809024529875,0,Very Low
C00066,Manufacturing,203,annual,6,13,9,0.692,3,-0.571,0,0,,0.311,1,0,0.3,0.0,0.07247417910757771,0,Very Low
C00067,Finance,126,annual,2,7,6,0.857,4,0.2,1,0,,0.654,1,0,0.5714285714285714,0.14285714285714285,0.00274867625429332,0,Very Low
C00068,Manufacturing,48,multi_year,1,13,7,0.538,11,0.222,4,1,5.0,0.598,0,0,1.375,0.5,0.2172584768279258,0,Low
C00069,Finance,4,annual,23,4,2,0.5,6,0.636,4,0,6.0,0.586,0,0,2.0,1.3333333333333333,0.05286650187741827,0,Very Low
C00070,Other,221,annual,32,12,7,0.583,8,0.333,1,0,,0.626,1,0,1.0,0.125,0.005647030946715814,0,Very Low
C00071,Retail,20,multi_year,42,5,0,0.0,2,0.2,4,0,5.0,0.267,0,1,2.0,4.0,0.8034994530659597,1,Very High
C00072,Manufacturing,70,annual,37,8,7,0.875,6,-0.28,1,0,5.0,0.752,0,0,0.75,0.125,0.008434920672817259,0,Very Low
C00073,Other,18,annual,27,6,5,0.833,4,-0.143,3,0,,0.498,1,0,0.6666666666666666,0.5,0.015394604358380705,0,Very Low
C00074,Retail,24,monthly,1,8,3,0.375,5,0.071,0,0,5.0,0.657,0,0,1.25,0.0,0.18508261315967298,0,Very Low
C00075,Finance,165,multi_year,16,17,15,0.882,18,0.256,2,0,,0.735,1,0,1.125,0.125,0.0013338524432839763,0,Very Low
C00076,Retail,5,monthly,7,5,3,0.6,4,0.2,1,1,,0.574,0,1,1.0,0.25,0.3013804506507906,0,Low
C00077,Healthcare,8,annual,1,4,1,0.25,2,0.0,1,0,2.0,0.504,0,0,1.0,0.5,0.4445979974338295,1,Medium
C00078,Tech,22,annual,11,6,3,0.5,5,0.154,3,0,,0.517,0,0,1.25,0.75,0.10032369570746208,0,Very Low
C00079,Tech,92,annual,8,7,5,0.714,6,0.286,0,0,6.0,0.407,0,0,1.0,0.0,0.020708084214898708,0,Very Low
C00080,,2,annual,67,3,2,0.667,2,-0.333,3,0,,0.395,0,0,0.6666666666666666,1.0,0.14472449005007845,0,Very Low
C00081,Healthcare,113,monthly,10,9,5,0.556,9,0.421,5,0,6.0,0.501,1,0,1.5,0.8333333333333334,0.029946307639946844,0,Very Low
C00082,Finance,20,monthly,11,10,8,0.8,8,0.333,3,0,8.0,0.455,0,0,0.8888888888888888,0.3333333333333333,0.02186090284392459,0,Very Low
C00083,Manufacturing,63,annual,4,12,10,0.833,9,0.0,2,0,,0.665,0,0,0.8181818181818182,0.18181818181818182,0.014130561476350657,0,Very Low
C00084,Retail,476,monthly,7,21,9,0.429,12,-0.027,0,0,6.0,0.481,1,1,1.2,0.0,0.08903975481697643,0,Very Low
C00085,Retail,52,multi_year,1,12,10,0.833,3,-0.679,1,0,7.0,0.525,0,0,0.2727272727272727,0.09090909090909091,0.03385433374882008,0,Very Low
C00086,Tech,96,annual,1,14,7,0.5,8,0.333,1,0,,0.599,0,0,1.0,0.125,0.03632445979975793,0,Very Low
C00087,Manufacturing,128,multi_year,42,16,11,0.688,11,-0.029,1,0,5.0,0.721,1,0,0.9166666666666666,0.08333333333333333,0.0042180629801184645,0,Very Low
C00088,Manufacturing,22,monthly,1,8,5,0.625,3,-0.308,1,0,6.0,0.369,0,0,0.5,0.16666666666666666,0.24744325516159954,0,Low
C00089,Manufacturing,35,annual,27,9,4,0.444,3,0.125,2,0,2.0,0.477,0,0,0.6,0.4,0.19481702697719963,0,Very Low
C00090,Other,25,monthly,17,6,5,0.833,6,-0.053,3,2,8.0,0.54,0,1,1.0,0.5,0.364335150463984,0,Low
C00091,Finance,38,annual,9,10,5,0.5,6,0.125,3,0,5.0,0.401,0,0,1.0,0.5,0.1511203751174513,0,Very Low
C00092,Finance,22,monthly,6,5,3,0.6,4,0.2,2,0,6.0,0.608,0,0,1.0,0.5,0.0613710612702734,0,Very Low
C00093,Tech,18,multi_year,45,8,4,0.5,3,-0.182,3,0,4.0,0.438,0,0,0.6,0.6,0.13387448430275461,0,Very Low
C00094,Manufacturing,16,annual,21,5,4,0.8,5,0.364,1,0,,0.568,1,0,1.0,0.2,0.004741224927085135,0,Very Low
C00095,Retail,67,monthly,7,8,5,0.625,5,0.071,5,0,7.0,0.746,0,0,0.8333333333333334,0.8333333333333334,0.03517588518148413,0,Very Low
C00096,Healthcare,7,monthly,13,5,1,0.2,3,0.8,1,0,5.0,0.548,0,0,1.5,0.5,0.1342821673644466,0,Very Low
C00097,Retail,34,monthly,11,12,7,0.583,10,0.25,3,0,5.0,0.646,0,1,1.25,0.375,0.07842528619427398,0,Very Low
C00098,Healthcare,128,annual,34,17,12,0.706,9,0.0,2,1,6.0,0.647,1,0,0.6923076923076923,0.15384615384615385,0.01791516081372371,0,Very Low
C00099,Finance,7,annual,20,6,3,0.5,2,-0.143,1,0,6.0,0.249,1,0,0.5,0.25,0.11094672182970312,0,Very Low
C00100,Healthcare,5,annual,8,4,3,0.75,2,-0.25,3,0,3.0,0.824,0,0,0.5,0.75,0.03546628623094769,0,Very Low
C00101,Retail,61,monthly,9,14,6,0.429,14,0.615,3,0,4.0,0.58,0,0,2.0,0.42857142857142855,0.15481193847847985,0,Very Low
C00102,Tech,13,multi_year,30,5,4,0.8,3,-0.182,0,0,,0.684,0,0,0.6,0.0,0.00903082281753506,0,Very Low
C00103,Manufacturing,14,multi_year,4,9,5,0.556,7,0.235,3,0,6.0,0.766,0,0,1.1666666666666667,0.5,0.020237451959684506,0,Very Low
C00104,Retail,59,annual,36,13,10,0.769,4,-0.368,0,1,5.0,0.556,0,0,0.36363636363636365,0.0,0.11904329506383177,0,Very Low
C00105,Healthcare,42,monthly,2,6,6,1.0,4,0.333,0,0,6.0,0.56,0,0,0.5714285714285714,0.0,0.004680006683512466,0,Very Low
C00106,Tech,15,multi_year,9,6,2,0.333,2,-0.143,3,0,1.0,0.163,0,1,0.6666666666666666,1.0,0.7988008483295739,1,High
C00107,Retail,21,multi_year,4,8,4,0.5,4,-0.2,4,1,,0.572,0,1,0.8,0.8,0.37398314754433415,0,Low
C00108,Tech,6,annual,15,3,2,0.667,1,-0.4,3,1,,0.716,0,0,0.3333333333333333,1.0,0.21516271289942962,0,Low
C00109,Retail,16,annual,8,6,4,0.667,3,-0.182,2,0,,0.665,0,0,0.6,0.4,0.0401342085176318,0,Very Low
C00110,Finance,28,annual,6,10,6,0.6,7,0.5,4,0,,0.644,0,0,1.0,0.5714285714285714,0.022306449662304214,0,Very Low
C00111,Other,54,annual,27,12,4,0.333,4,-0.25,3,0,0.0,0.453,0,0,0.8,0.6,0.6795703624807415,1,High
C00112,Finance,56,annual,4,13,11,0.846,6,-0.28,1,0,,0.645,0,0,0.5,0.08333333333333333,0.020927845581444584,0,Very Low
C00113,Retail,187,monthly,18,13,7,0.538,1,-0.833,2,1,,0.578,1,0,0.125,0.25,0.438165569064605,1,Medium
C00114,Finance,28,monthly,1,7,5,0.714,7,0.235,2,0,6.0,0.715,0,0,1.1666666666666667,0.3333333333333333,0.02709259871410681,0,Very Low
C00115,Finance,86,annual,6,10,7,0.7,4,-0.333,2,0,6.0,0.536,0,0,0.5,0.25,0.05039886196850006,0,Very Low
C00116,Manufacturing,40,annual,14,6,2,0.333,5,0.5,3,1,3.0,0.439,0,1,1.6666666666666667,1.0,0.6184245295840681,1,High
C00117,Healthcare,11,annual,24,7,2,0.286,1,-0.25,4,0,7.0,0.602,0,0,0.3333333333333333,1.3333333333333333,0.12425815040570681,0,Very Low
C00118,Other,42,multi_year,17,12,7,0.583,4,-0.429,3,0,7.0,0.562,0,0,0.5,0.375,0.057211427037418806,0,Very Low
C00119,Retail,44,multi_year,11,9,4,0.444,3,-0.182,0,0,3.0,0.233,0,0,0.6,0.0,0.35010251075857424,0,Low
C00120,Retail,61,annual,20,14,13,0.929,6,-0.4,3,0,2.0,0.723,0,0,0.42857142857142855,0.21428571428571427,0.038594357643412174,0,Very Low
C00121,Healthcare,51,monthly,35,12,6,0.5,1,-0.75,4,1,6.0,0.506,0,1,0.14285714285714285,0.5714285714285714,0.6170155420146671,1,High
C00122,Other,35,monthly,5,11,7,0.636,6,-0.143,1,0,,0.34,0,0,0.75,0.125,0.23321816108016788,0,Low
C00123,Finance,12,annual,14,4,3,0.75,5,0.071,2,0,6.0,0.719,1,0,1.25,0.5,0.007556336477361393,0,Very Low
C00124,Healthcare,22,multi_year,16,7,3,0.429,4,0.2,5,1,,0.543,0,0,1.0,1.25,0.22707210898157426,0,Low
C00125,Healthcare,41,annual,30,7,4,0.571,2,-0.333,0,0,,0.375,0,0,0.4,0.0,0.06711728035822735,0,Very Low
C00126,Finance,60,annual,6,7,4,0.571,5,0.25,0,0,7.0,0.679,0,0,1.0,0.0,0.011418714566672924,0,Very Low
C00127,Healthcare,71,annual,18,14,13,0.929,20,0.463,3,2,6.0,0.717,1,0,1.4285714285714286,0.21428571428571427,0.0167407106128905,0,Very Low
C00128,Healthcare,44,annual,5,8,6,0.75,7,0.105,0,0,7.0,0.583,0,0,1.0,0.0,0.007905190916044877,0,Very Low
C00129,Other,59,annual,3,6,4,0.667,3,-0.1,0,0,,0.514,0,0,0.6,0.0,0.04046967649154777,0,Very Low
C00130,Other,136,monthly,22,9,7,0.778,3,-0.357,1,0,8.0,0.609,1,0,0.375,0.125,0.00967548728636719,0,Very Low
C00131,Manufacturing,37,annual,12,9,5,0.556,5,0.0,1,0,,0.52,0,0,0.8333333333333334,0.16666666666666666,0.06296768190585181,0,Very Low
C00132,Tech,17,annual,15,5,3,0.6,1,-0.25,0,0,5.0,0.587,0,0,0.25,0.0,0.053822977538839134,0,Very Low
C00133,Healthcare,7,annual,29,4,1,0.25,2,-0.143,2,0,4.0,0.372,0,0,1.0,1.0,0.443274460163704,1,Medium
C00134,Retail,31,monthly,27,7,3,0.429,2,-0.25,1,0,6.0,0.623,0,0,0.5,0.25,0.12759044100549818,0,Very Low
C00135,Other,58,annual,3,10,6,0.6,7,0.4,1,1,7.0,0.707,0,0,1.0,0.14285714285714285,0.039621925936548084,0,Very Low
C00136,Retail,20,monthly,4,10,7,0.7,10,0.154,3,0,,0.64,0,0,1.25,0.375,0.06111562045076735,0,Very Low
C00137,Other,142,multi_year,4,9,2,0.222,3,0.0,1,0,6.0,0.589,1,0,1.0,0.3333333333333333,0.05587554638546105,0,Very Low
C00138,Tech,12,annual,9,5,3,0.6,4,0.091,2,0,6.0,0.576,1,0,1.0,0.5,0.023007461165575612,0,Very Low
C00139,Retail,20,monthly,33,9,7,0.778,10,0.111,1,0,,0.721,0,0,1.25,0.125,0.018174258953218336,0,Very Low
C00140,Other,29,annual,16,7,6,0.857,6,-0.143,2,0,7.0,0.796,0,0,0.8571428571428571,0.2857142857142857,0.006302573599777087,0,Very Low
C00141,Finance,8,annual,3,6,3,0.5,5,0.5,1,0,3.0,0.355,0,0,1.25,0.25,0.18199148585005817,0,Very Low
C00142,Other,86,annual,3,12,10,0.833,12,-0.053,0,0,9.0,0.733,0,0,1.0909090909090908,0.0,0.0036197588249527166,0,Very Low
C00143,Healthcare,13,annual,7,6,4,0.667,2,-0.25,1,1,8.0,0.525,0,1,0.4,0.2,0.08966088916852798,0,Very Low
C00144,Tech,9,monthly,25,5,4,0.8,3,-0.357,2,1,6.0,0.854,0,0,0.6,0.4,0.1024806439856996,0,Very Low
C00145,Finance,4,monthly,18,6,3,0.5,3,0.0,1,1,7.0,0.578,0,1,0.75,0.25,0.32641678016508013,0,Low
C00146,Healthcare,77,monthly,6,7,6,0.857,5,-0.25,0,0,5.0,0.699,0,0,0.7142857142857143,0.0,0.0187962807237117,0,Very Low
C00147,Healthcare,112,annual,1,13,11,0.846,12,-0.143,4,0,7.0,0.815,1,0,1.0,0.3333333333333333,0.0024459885705850784,0,Very Low
C00148,Tech,10,monthly,8,8,5,0.625,12,0.44,4,0,7.0,0.708,0,0,2.0,0.6666666666666666,0.04145331446030693,0,Very Low
C00149,Tech,7,monthly,44,5,1,0.2,1,0.0,5,2,3.0,0.569,0,1,0.5,2.5,0.9723725299040239,1,Very High
C00150,Other,18,monthly,1,6,4,0.667,3,-0.182,0,0,,0.493,0,0,0.6,0.0,0.1254522038779403,0,Very Low
C00151,Other,29,monthly,13,8,4,0.5,5,0.154,2,0,,0.668,0,0,1.0,0.4,0.0848233792074452,0,Very Low
C00152,Other,16,monthly,6,9,7,0.778,9,-0.206,0,0,,0.717,0,0,1.125,0.0,0.04800968992169274,0,Very Low
C00153,Retail,48,multi_year,2,12,7,0.583,5,-0.444,1,0,,0.377,0,0,0.625,0.125,0.16020221515599198,0,Very Low
C00154,Tech,9,annual,27,8,4,0.5,3,-0.1,4,0,4.0,0.762,0,1,0.6,0.8,0.0843995341860016,0,Very Low
C00155,Healthcare,253,monthly,9,15,14,0.933,12,0.029,1,0,6.0,0.873,1,0,0.8,0.06666666666666667,0.0013976093618790187,0,Very Low
C00156,Manufacturing,42,annual,18,10,6,0.6,6,0.2,2,0,8.0,0.688,1,0,0.8571428571428571,0.2857142857142857,0.004456525368947752,0,Very Low
C00157,Finance,84,annual,26,11,5,0.455,7,0.167,1,1,,0.377,0,0,1.1666666666666667,0.16666666666666666,0.3133624346237491,0,Low
C00158,Tech,19,monthly,2,8,2,0.25,2,-0.143,5,0,,0.453,0,0,0.6666666666666666,1.6666666666666667,0.6766420453904595,1,High
C00159,Tech,80,multi_year,23,14,2,0.143,3,0.125,4,0,,0.495,0,0,1.0,1.3333333333333333,0.2706220919763509,0,Low
C00160,,168,annual,3,11,7,0.636,12,0.385,3,0,2.0,0.708,1,0,1.5,0.375,0.029957185928861447,0,Very Low
C00161,Tech,14,multi_year,67,5,4,0.8,3,0.0,1,0,7.0,0.742,0,0,0.6,0.2,0.002066337213769045,0,Very Low
C00162,,34,monthly,11,11,3,0.273,4,0.5,1,0,4.0,0.327,0,0,1.0,0.25,0.49105142809875146,1,Medium
C00163,Other,85,monthly,30,16,13,0.812,19,0.425,1,0,5.0,0.499,0,0,1.3571428571428572,0.07142857142857142,0.020885053766086622,0,Very Low
C00164,Tech,46,annual,44,10,9,0.9,7,-0.344,2,0,3.0,0.889,0,0,0.7,0.2,0.010491551651942887,0,Very Low
C00165,Tech,12,multi_year,12,8,7,0.875,9,0.08,3,0,8.0,0.58,0,0,1.125,0.375,0.006987786113975168,0,Very Low
C00166,,18,annual,3,9,4,0.444,8,0.6,1,0,6.0,0.272,0,0,1.6,0.2,0.16705374429222727,0,Very Low
C00167,Manufacturing,55,annual,5,7,3,0.429,1,-0.571,2,0,6.0,0.459,1,0,0.25,0.5,0.13791712006531368,0,Very Low
C00168,Healthcare,42,annual,8,6,2,0.333,4,0.0,2,0,5.0,0.369,0,0,1.3333333333333333,0.6666666666666666,0.26173242907030975,0,Low
C00169,Healthcare,15,annual,44,7,3,0.429,3,0.286,3,0,4.0,0.542,0,0,0.75,0.75,0.054044396638612484,0,Very Low
C00170,Other,42,annual,1,6,3,0.5,4,0.2,4,0,3.0,0.683,0,0,1.0,1.0,0.1123955074549935,0,Very Low
C00171,Retail,3,monthly,2,3,1,0.333,2,0.0,3,0,,0.215,0,0,1.0,1.5,0.757786983247792,1,High
C00172,Tech,32,monthly,71,8,4,0.5,5,0.071,0,1,5.0,0.479,0,0,1.0,0.0,0.2602750758073375,0,Low
C00173,Finance,82,monthly,11,14,8,0.571,7,-0.16,2,2,5.0,0.596,0,1,0.7777777777777778,0.2222222222222222,0.761863726701901,1,High
C00174,Retail,79,annual,13,13,7,0.538,7,0.312,3,0,,0.41,0,0,0.875,0.375,0.06420056998528836,0,Very Low
C00175,Finance,19,annual,25,10,8,0.8,9,0.125,3,0,,0.446,0,0,1.0,0.3333333333333333,0.03008966618369546,0,Very Low
C00176,,39,annual,14,8,8,1.0,6,-0.217,2,0,,0.735,0,0,0.6666666666666666,0.2222222222222222,0.010305603208261675,0,Very Low
C00177,Retail,38,annual,33,13,4,0.308,5,0.5,3,0,,0.206,0,0,1.0,0.6,0.20776648701845873,0,Low
C00178,Tech,26,monthly,5,6,4,0.667,4,0.5,1,0,6.0,0.58,1,0,0.8,0.2,0.01127263064658228,0,Very Low
C00179,Tech,13,monthly,10,7,3,0.429,2,-0.143,1,0,5.0,0.402,0,0,0.5,0.25,0.3747448793411393,0,Low
C00180,Manufacturing,6,monthly,5,5,1,0.2,2,0.2,2,0,,0.512,0,1,1.0,1.0,0.45961069714144087,1,Medium
C00181,Tech,15,multi_year,45,9,6,0.667,9,0.588,5,0,9.0,0.712,0,0,1.2857142857142858,0.7142857142857143,0.002175759282673215,0,Very Low
C00182,,8,multi_year,16,4,1,0.25,0,-1.0,2,0,1.0,0.327,0,1,0.0,1.0,0.9358313236162346,1,Very High
C00183,,3,multi_year,11,4,2,0.5,2,0.2,2,0,2.0,0.41,0,1,0.6666666666666666,0.6666666666666666,0.3025109340374746,0,Low
C00184,Other,95,monthly,10,7,3,0.429,4,-0.143,2,0,3.0,0.491,0,0,1.0,0.5,0.44227887401254684,1,Medium
C00185,Manufacturing,6,annual,11,6,2,0.333,4,0.333,2,0,4.0,0.557,0,0,1.3333333333333333,0.6666666666666666,0.2031147358314003,0,Low
C00186,Tech,13,monthly,11,7,2,0.286,6,0.5,5,0,,0.394,0,0,2.0,1.6666666666666667,0.526125387201171,1,Medium
C00187,Tech,13,monthly,31,5,4,0.8,0,-1.0,1,0,,0.402,0,0,0.0,0.2,0.25456158972134285,0,Low
C00188,Other,4,annual,2,3,2,0.667,4,0.5,5,0,,0.555,0,1,1.3333333333333333,1.6666666666666667,0.056119577357573225,0,Very Low
C00189,Retail,34,annual,17,7,3,0.429,4,0.333,0,1,5.0,0.533,0,0,1.0,0.0,0.19429553254192442,0,Very Low
C00190,Manufacturing,4,annual,27,5,2,0.4,4,0.091,1,0,6.0,0.645,0,0,1.3333333333333333,0.3333333333333333,0.07681386483998433,0,Very Low
